time, x0, x1, x2, x3, x4, x5, x6, x7
1.993306017333220881e+00, 2.786990959164937776e-01, 1.771300904083505712e+00, 4.534264049050090728e-02, 5.757653010868202248e-02, 1.091522414149168796e+01, -1.266565018432105916e+01, 1.464875893519337779e+01, 0.000000000000000000e+00
2.000000000000000000e+00, 2.768876892085048724e-01, 1.773112310791495005e+00, 4.532699999999997842e-02, 5.768776262861430304e-02, 1.101164077495990767e+01, -1.276414761100863160e+01, 1.474711384838001571e+01, 0.000000000000000000e+00
2.067303459111510477e+00, 2.593334651301539839e-01, 1.790666534869845838e+00, 4.516974546778593225e-02, 5.884542563941022597e-02, 1.201912834553816722e+01, -1.379197649528347647e+01, 1.577347056057963925e+01, 0.000000000000000000e+00
2.141300900889800296e+00, 2.413491054053411577e-01, 1.808650894594658665e+00, 4.499685044507095721e-02, 6.020231995543562364e-02, 1.321070825899636603e+01, -1.500477324216668329e+01, 1.698456462310139159e+01, 0.000000000000000000e+00
2.215298342668090115e+00, 2.246474963312414252e-01, 1.825352503668758564e+00, 4.482395542235598218e-02, 6.164980140740319858e-02, 1.449649729634628414e+01, -1.631067753656278541e+01, 1.828867564600009743e+01, 0.000000000000000000e+00
2.289295784446379933e+00, 2.091371445618072367e-01, 1.840862855438192502e+00, 4.465106039964100715e-02, 6.319058247486557256e-02, 1.588354533343802899e+01, -1.771683617262702626e+01, 1.969294771095144725e+01, 0.000000000000000000e+00
2.363293226224669752e+00, 1.947330826009721072e-01, 1.855266917399027715e+00, 4.447816537692603212e-02, 6.482750347735477536e-02, 1.737945733874264320e+01, -1.923094476696560662e+01, 2.120507359424209426e+01, 0.000000000000000000e+00
2.437290668002959571e+00, 1.813564033338196380e-01, 1.868643596666180295e+00, 4.430527035421105708e-02, 6.656353646033841276e-02, 1.899243504596528354e+01, -2.086128990448949949e+01, 2.283333690873758570e+01, 0.000000000000000000e+00
2.511288109781249389e+00, 1.689338277632282392e-01, 1.881066172236771417e+00, 4.413237533149608205e-02, 6.840178926112489011e-02, 2.073132189636125844e+01, -2.261679452112579725e+01, 2.458665748252765582e+01, 0.000000000000000000e+00
2.585285551559539208e+00, 1.573973035822359978e-01, 1.892602696417763575e+00, 4.395948030878110702e-02, 7.034550976057669935e-02, 2.260565149698123122e+01, -2.450706677199381645e+01, 2.647464022285079466e+01, 0.000000000000000000e+00
2.659282993337829026e+00, 1.466836323774982909e-01, 1.903316367622500893e+00, 4.378658528606613198e-02, 7.239809032672765710e-02, 2.462569986030882419e+01, -2.654245265272658827e+01, 2.850762773297199004e+01, 0.000000000000000000e+00
2.733280435116118845e+00, 1.367341234202125722e-01, 1.913265876579786973e+00, 4.361369026335115695e-02, 7.456307245635468428e-02, 2.680254171147350206e+01, -2.873409266217595714e+01, 3.069675697024629457e+01, 0.000000000000000000e+00
2.807277876894408664e+00, 1.274942721502068943e-01, 1.922505727849792789e+00, 4.344079524063618192e-02, 7.684415162070420968e-02, 2.914811117151827702e+01, -3.109398281688758559e+01, 3.305402025574813507e+01, 0.000000000000000000e+00
2.881275318672698482e+00, 1.189134615935525802e-01, 1.931086538406447062e+00, 4.326790021792120688e-02, 7.924518232196457734e-02, 3.167526714917889308e+01, -3.363504035157551897e+01, 3.559233096968937105e+01, 0.000000000000000000e+00
2.955272760450988301e+00, 1.109446850775591548e-01, 1.939055314922440321e+00, 4.309500519520623185e-02, 8.177018336747850225e-02, 3.439786379942098193e+01, -3.637117446549275712e+01, 3.832559429251568162e+01, 0.000000000000000000e+00
3.000000000000000000e+00, 1.064062786024638496e-01, 1.943593721397535834e+00, 4.299049999999996624e-02, 8.335827159628288185e-02, 3.614452319488912480e+01, -3.812586195947921652e+01, 4.007848468788292706e+01, 0.000000000000000000e+00
3.029270202229278119e+00, 1.035442887231008274e-01, 1.946455711276898981e+00, 4.292211017249125682e-02, 8.442334336897640290e-02, 3.733082643473478157e+01, -3.931736250223216445e+01, 4.126878337920815909e+01, 0.000000000000000000e+00
3.103267644007567938e+00, 9.667173230342664125e-02, 1.953328267696573306e+00, 4.274921514977628179e-02, 8.720902647435180288e-02, 4.049023330505988127e+01, -4.248973198025583287e+01, 4.443802138408101143e+01, 0.000000000000000000e+00
3.177265085785857757e+00, 9.028936715986941863e-02, 1.959710632840130362e+00, 4.257632012706130675e-02, 9.013177833979663101e-02, 4.389340369436439460e+01, -4.590564892350293746e+01, 4.785066978541726002e+01, 0.000000000000000000e+00
3.251262527564147575e+00, 8.436222995813869030e-02, 1.965637770041861021e+00, 4.240342510434633172e-02, 9.319633235046795305e-02, 4.755899281650847144e+01, -4.958381297593822268e+01, 5.152542349379645259e+01, 0.000000000000000000e+00
3.325259969342437394e+00, 7.885785115525607847e-02, 1.971142148844743591e+00, 4.223053008163135669e-02, 9.640761609822069700e-02, 5.150709403026895217e+01, -5.354435982106523539e+01, 5.548241326513026905e+01, 0.000000000000000000e+00
3.399257411120727213e+00, 7.374607712769659651e-02, 1.976253922872303059e+00, 4.205763505891638165e-02, 9.977075812528905796e-02, 5.575934893349796084e+01, -5.780897146744408843e+01, 5.974331597943663752e+01, 0.000000000000000000e+00
3.473254852899017031e+00, 6.899890498631050528e-02, 1.981001095013688929e+00, 4.188474003620140662e-02, 1.032910949431485176e-01, 6.033906593955239117e+01, -6.240099500434377688e+01, 6.433147338947303240e+01, 0.000000000000000000e+00
3.547252294677306850e+00, 6.459032917321494427e-02, 1.985409670826784545e+00, 4.171184501348643159e-02, 1.069741783361630727e-01, 6.527134798559930573e+01, -6.734557047805795094e+01, 6.927201998974878450e+01, 0.000000000000000000e+00
3.621249736455596668e+00, 6.049619900034387127e-02, 1.989503800999655958e+00, 4.153894999077145656e-02, 1.108257829600178962e-01, 7.058323007242978520e+01, -7.266976858937718475e+01, 7.459202070639869930e+01, 0.000000000000000000e+00
3.695247178233886487e+00, 5.669408634921042217e-02, 1.993305913650789352e+00, 4.136605496805648152e-02, 1.148519142453448272e-01, 7.630382738927222874e+01, -7.840273896650954555e+01, 8.032061916220031605e+01, 0.000000000000000000e+00
3.769244620012176306e+00, 5.316316280708858338e-02, 1.996836837192910830e+00, 4.119315994534150649e-02, 1.190588166173652818e-01, 8.246449483508378364e+01, -8.457586982567541156e+01, 8.648919732894873391e+01, 0.000000000000000000e+00
3.843242061790466124e+00, 4.988408556655139076e-02, 2.000115914433448161e+00, 4.102026492262653146e-02, 1.234529820428037217e-01, 8.909899881023098089e+01, -9.122295989398213578e+01, 9.313154744178460476e+01, 0.000000000000000000e+00
3.917239503568755943e+00, 4.683889146332726600e-02, 2.003161108536672064e+00, 4.084736989991155642e-02, 1.280411589157729457e-01, 9.624370221969068950e+01, -9.838040353635918223e+01, 1.002840571172432220e+02, 0.000000000000000000e+00
3.991236945347045761e+00, 4.401089857201040401e-02, 2.005989101427988697e+00, 4.067447487719658139e-02, 1.328303612947970835e-01, 1.039377637012786693e+02, -1.060873901006646634e+02, 1.079859086891242583e+02, 0.000000000000000000e+00
4.000000000000000000e+00, 4.368964483208741950e-02, 2.006310355167911563e+00, 4.065399999999995406e-02, 1.334111672890905820e-01, 1.048872435581544664e+02, -1.070384142479005476e+02, 1.089363110806114605e+02, 0.000000000000000000e+00
4.065234387125335580e+00, 4.138461482054908019e-02, 2.008615385179449930e+00, 4.050157985448160636e-02, 1.378278785036197440e-01, 1.122233521703402488e+02, -1.143861185729634826e+02, 1.162792938541688414e+02, 0.000000000000000000e+00
4.139231828903625399e+00, 3.894565312288488651e-02, 2.011054346877114263e+00, 4.032868483176663132e-02, 1.430412851089417625e-01, 1.211458778562452068e+02, -1.233220287188448765e+02, 1.252096448033994847e+02, 0.000000000000000000e+00
4.213229270681915217e+00, 3.668065256482998943e-02, 2.013319347435169160e+00, 4.015578980905165629e-02, 1.484784512887495633e-01, 1.307542410963742725e+02, -1.329440499769597466e+02, 1.348258831052891082e+02, 0.000000000000000000e+00
4.287226712460205036e+00, 3.457720521143291953e-02, 2.015422794788566119e+00, 3.998289478633668126e-02, 1.541475536054285056e-01, 1.411011002505640590e+02, -1.433048694682044584e+02, 1.451806877041717314e+02, 0.000000000000000000e+00
4.361224154238494854e+00, 3.262378813487653434e-02, 2.017376211865122393e+00, 3.980999976362170623e-02, 1.600570861984099702e-01, 1.522431602037235336e+02, -1.544612205886945731e+02, 1.563307835020234222e+02, 0.000000000000000000e+00
4.435221596016784673e+00, 3.080970029054801509e-02, 2.019190299709451075e+00, 3.963710474090673119e-02, 1.662158724116769848e-01, 1.642414830371203891e+02, -1.664741937674304211e+02, 1.683372521045006351e+02, 0.000000000000000000e+00
